dataset_filter,feature_set,model_type,hyperparameters,feature_count,train_accuracy,validation_accuracy,validation_roc_auc,validation_log_loss,validation_brier_score,test_accuracy,test_roc_auc,test_log_loss,test_brier_score
regular_season_only,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",17,0.698,0.6702,0.735,0.5995,0.2066,0.6819,0.7462,0.5938,0.2037
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'None'}",66,0.6992,0.6682,0.7364,0.5995,0.2066,0.6834,0.7469,0.5936,0.2036
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'None'}",66,0.6991,0.6684,0.7364,0.5995,0.2066,0.6836,0.7468,0.5936,0.2036
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'None'}",66,0.6993,0.6684,0.7359,0.5996,0.2067,0.6821,0.7475,0.5925,0.2034
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'None'}",66,0.6995,0.669,0.7364,0.5996,0.2066,0.6817,0.7469,0.5935,0.2036
regular_season_only,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'class_weight': 'None'}",17,0.6971,0.6762,0.735,0.5997,0.2064,0.685,0.7462,0.5943,0.2039
regular_season_only,regular_core_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'None'}",15,0.6985,0.6676,0.7351,0.5999,0.2068,0.6838,0.7475,0.5927,0.2034
regular_season_only,minimal_strong_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'None'}",9,0.6984,0.6679,0.7351,0.5999,0.2068,0.6829,0.7474,0.5927,0.2034
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'None'}",66,0.6989,0.6696,0.736,0.5999,0.2067,0.6821,0.7468,0.5933,0.2036
regular_season_only,minimal_strong_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'None'}",9,0.6981,0.6667,0.7349,0.6,0.2069,0.6829,0.7474,0.5928,0.2034
