dataset_filter,feature_set,model_type,hyperparameters,feature_count,train_accuracy,validation_accuracy,validation_roc_auc,validation_log_loss,validation_brier_score,test_accuracy,test_roc_auc,test_log_loss,test_brier_score
regular_season_only,regular_core_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",15,0.6641,0.6382,0.6798,0.6389,0.2236,0.6454,0.6982,0.6313,0.2202
regular_season_only,era_adjusted_core,HistGradientBoosting,"{'max_iter': 300, 'learning_rate': 0.05}",66,0.7045,0.6414,0.6792,0.639,0.2238,0.6446,0.6941,0.633,0.2213
regular_season_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'None'}",70,0.6673,0.6358,0.6785,0.6391,0.2237,0.6459,0.6971,0.6324,0.2205
regular_season_only,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'None'}",49,0.6676,0.6361,0.6784,0.6391,0.2236,0.6454,0.6971,0.6324,0.2205
regular_season_only,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'None'}",49,0.6673,0.6358,0.6785,0.6391,0.2237,0.6459,0.6971,0.6324,0.2205
regular_season_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'None'}",70,0.6674,0.6361,0.6784,0.6391,0.2237,0.6452,0.6972,0.6324,0.2205
regular_season_only,percentile_core,HistGradientBoosting,"{'max_iter': 300, 'learning_rate': 0.05}",51,0.7043,0.6373,0.6799,0.6392,0.2238,0.6354,0.6844,0.6365,0.223
regular_season_only,regular_all_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'None'}",196,0.6718,0.6334,0.6819,0.6392,0.2227,0.5863,0.6157,0.7612,0.261
regular_season_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'None'}",70,0.6671,0.6361,0.6784,0.6392,0.2237,0.6452,0.6971,0.6325,0.2205
regular_season_only,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'None'}",49,0.6671,0.6361,0.6784,0.6392,0.2237,0.6452,0.6971,0.6325,0.2205
regular_season_only,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'None'}",49,0.6676,0.6358,0.6783,0.6393,0.2237,0.6454,0.697,0.6326,0.2206
